MouseID,Genotype,Treatment,BDNF_N,pCREB_N
3413_1,Control,Memantine,0.265467626,0.202068345
3413_3,Control,Memantine,0.266897148,0.196974935
3413_4,Control,Memantine,0.232138956,0.164955211
3413_5,Control,Memantine,0.255172414,0.169458128
3413_6,Control,Memantine,0.239452055,0.171726027
3413_7,Control,Memantine,0.221028905,0.15924158
3413_8,Control,Memantine,0.217385621,0.150980392
3413_9,Control,Memantine,0.222236705,0.150938478
3413_10,Control,Memantine,0.212386795,0.135261467
3413_11,Control,Memantine,0.198158702,0.134882362
3413_12,Control,Memantine,0.220139771,0.146601017
3413_14,Control,Memantine,0.197270686,0.127483158
3413_15,Control,Memantine,0.228643705,0.147304923
3419_1,Control,Memantine,0.294584838,0.221083032
3419_2,Control,Memantine,0.290589602,0.214057508
3419_3,Control,Memantine,0.279473537,0.205404649
3419_4,Control,Memantine,0.282661571,0.211084086
3419_5,Control,Memantine,0.284984138,0.212019739
3419_6,Control,Memantine,0.258191997,0.198583896
3419_7,Control,Memantine,0.269407346,0.213480801
3419_8,Control,Memantine,0.252742869,0.200079793
3419_9,Control,Memantine,0.248001599,0.20303757
3419_10,Control,Memantine,0.308648649,0.234594595
3419_11,Control,Memantine,0.280010438,0.230167015
3419_12,Control,Memantine,0.267983419,0.212874909
3419_13,Control,Memantine,0.317257218,0.262795276
3419_14,Control,Memantine,0.283713851,0.256316591
3419_15,Control,Memantine,0.272194821,0.232737361
3420_1,Control,Memantine,0.26672484,0.213496219
3420_2,Control,Memantine,0.26,0.222627737
3420_3,Control,Memantine,0.247090663,0.194046008
3420_4,Control,Memantine,0.268394346,0.225625227
3420_5,Control,Memantine,0.267684022,0.217055655
3420_6,Control,Memantine,0.239206908,0.18835945
3420_7,Control,Memantine,0.31383452,0.225088968
3420_8,Control,Memantine,0.260969977,0.207642242
3420_9,Control,Memantine,0.249135652,0.217408989
3420_11,Control,Memantine,0.324469769,0.285533397
3420_12,Control,Memantine,0.301639344,0.261102832
3420_13,Control,Memantine,0.397491039,0.292473118
3420_14,Control,Memantine,0.335948158,0.273874488
3420_15,Control,Memantine,0.342714642,0.283576772
3500_1,Control,Memantine,0.327984199,0.220343168
3500_2,Control,Memantine,0.291023764,0.198445771
3500_3,Control,Memantine,0.291796111,0.201357726
3500_4,Control,Memantine,0.324419114,0.206780652
3500_5,Control,Memantine,0.285832415,0.192668137
3500_6,Control,Memantine,0.275020793,0.187551982
3500_7,Control,Memantine,0.316703559,0.201089733
3500_8,Control,Memantine,0.263367917,0.18499601
3500_9,Control,Memantine,0.265627537,0.182172431
3500_10,Control,Memantine,0.276941601,0.179811359
3500_11,Control,Memantine,0.26371308,0.179324895
3500_12,Control,Memantine,0.258155231,0.171353581
3500_13,Control,Memantine,0.320754717,0.191340106
3500_14,Control,Memantine,0.280268022,0.18461183
3500_15,Control,Memantine,0.280898876,0.187265918
3503_1,Control,Memantine,0.290876474,0.186058432
3503_2,Control,Memantine,0.309183948,0.194990574
3503_3,Control,Memantine,0.288297733,0.194469925
3503_4,Control,Memantine,0.311251664,0.198069241
3503_5,Control,Memantine,0.284369115,0.188794727
3503_6,Control,Memantine,0.279554264,0.191860465
3503_7,Control,Memantine,0.267342167,0.183943882
3503_8,Control,Memantine,0.28141698,0.183059569
3503_9,Control,Memantine,0.315329318,0.179327764
3503_10,Control,Memantine,0.31290602,0.179514942
3503_11,Control,Memantine,0.297578638,0.181941616
3503_12,Control,Memantine,0.267662135,0.196790729
3503_13,Control,Memantine,0.268236646,0.184951177
3503_14,Control,Memantine,0.316858869,0.169412411
3503_15,Control,Memantine,0.332021792,0.182506053
362_1,Control,Memantine,0.305588429,0.19947403
362_2,Control,Memantine,0.299698202,0.188557932
362_3,Control,Memantine,0.296756209,0.176507856
362_4,Control,Memantine,0.286402312,0.178840905
362_5,Control,Memantine,0.289150868,0.183367851
362_6,Control,Memantine,0.280287635,0.172893544
362_7,Control,Memantine,0.276961252,0.163199084
362_8,Control,Memantine,0.265610262,0.16789285
362_9,Control,Memantine,0.276144109,0.173515093
362_10,Control,Memantine,0.290691887,0.174962668
362_11,Control,Memantine,0.274701671,0.172792363
362_12,Control,Memantine,0.249596681,0.180225858
362_13,Control,Memantine,0.303225806,0.189677419
362_14,Control,Memantine,0.284480099,0.175563098
362_15,Control,Memantine,0.27866939,0.168077035
364_1,Control,Memantine,0.337857815,0.237064911
364_2,Control,Memantine,0.337149087,0.2491142
364_3,Control,Memantine,0.371796749,0.272074974
364_4,Control,Memantine,0.319888047,0.22818571
364_5,Control,Memantine,0.331918506,0.239388795
364_6,Control,Memantine,0.345113978,0.262767273
364_7,Control,Memantine,0.302771411,0.227964159
364_8,Control,Memantine,0.30942667,0.241142366
364_9,Control,Memantine,0.303419689,0.237098446
364_10,Control,Memantine,0.310131477,0.237947925
364_11,Control,Memantine,0.363934426,0.263661202
364_12,Control,Memantine,0.317728319,0.244563827
364_13,Control,Memantine,0.268688082,0.248273792
364_14,Control,Memantine,0.258377425,0.278365667
365_1,Control,Memantine,0.337206545,0.211761916
365_2,Control,Memantine,0.347400242,0.225513906
365_3,Control,Memantine,0.355216466,0.231724627
365_4,Control,Memantine,0.316156191,0.209174046
365_5,Control,Memantine,0.323482078,0.208339429
365_6,Control,Memantine,0.307015092,0.201788709
365_7,Control,Memantine,0.281439197,0.198235599
365_8,Control,Memantine,0.292704786,0.208460298
365_9,Control,Memantine,0.303951921,0.229284283
365_10,Control,Memantine,0.2463138,0.179773157
365_11,Control,Memantine,0.291970803,0.202662087
365_12,Control,Memantine,0.288242731,0.198482933
365_13,Control,Memantine,0.279959463,0.209019508
365_14,Control,Memantine,0.317024887,0.231052036
365_15,Control,Memantine,0.338731086,0.216617998
3477_1,Control,Saline,0.414979938,0.265893892
3477_2,Control,Saline,0.42432531,0.275984683
3477_4,Control,Saline,0.390845886,0.240208575
3477_5,Control,Saline,0.389175553,0.238390093
3477_6,Control,Saline,0.414547605,0.256061502
3477_7,Control,Saline,0.349670577,0.224168408
3477_8,Control,Saline,0.361981302,0.220272265
3477_9,Control,Saline,0.385111073,0.238256741
3477_10,Control,Saline,0.37947644,0.222827225
3477_11,Control,Saline,0.367043551,0.225083752
3477_12,Control,Saline,0.372024436,0.225405519
3477_13,Control,Saline,0.338769069,0.238558653
3477_14,Control,Saline,0.357764303,0.230951753
3477_15,Control,Saline,0.346470891,0.212004122
3478_1,Control,Saline,0.419017131,0.224173732
3478_2,Control,Saline,0.432892907,0.238960362
3478_4,Control,Saline,0.364471669,0.194486983
3478_5,Control,Saline,0.376171829,0.190577904
3478_6,Control,Saline,0.39099809,0.194842407
3478_7,Control,Saline,0.339267767,0.182770998
3478_8,Control,Saline,0.350977797,0.206734304
3478_9,Control,Saline,0.369603267,0.183634772
3478_10,Control,Saline,0.320470415,0.177692025
3478_11,Control,Saline,0.311541144,0.17346583
3478_12,Control,Saline,0.323897059,0.182904412
3478_13,Control,Saline,0.297027645,0.188526294
3478_14,Control,Saline,0.312943633,0.183507307
3478_15,Control,Saline,0.308090213,0.187875026
3479_1,Control,Saline,0.360817477,0.196818685
3479_2,Control,Saline,0.347358997,0.194469313
3479_3,Control,Saline,0.366670089,0.203408974
3479_4,Control,Saline,0.326849733,0.177218408
3479_5,Control,Saline,0.32577239,0.184069874
3479_6,Control,Saline,0.3389315,0.190822534
3479_7,Control,Saline,0.307390451,0.185415304
3479_8,Control,Saline,0.322077922,0.177597403
3479_9,Control,Saline,0.316986611,0.180835619
3479_10,Control,Saline,0.343633656,0.216120625
3479_11,Control,Saline,0.353085952,0.21942446
3479_12,Control,Saline,0.340389972,0.210213556
3479_13,Control,Saline,0.351551264,0.228888432
3479_14,Control,Saline,0.360835619,0.238657945
3479_15,Control,Saline,0.372259696,0.248735245
3480_1,Control,Saline,0.397922752,0.210564752
3480_2,Control,Saline,0.41048321,0.212285012
3480_3,Control,Saline,0.400732367,0.199251712
3480_4,Control,Saline,0.332077446,0.18859236
3480_5,Control,Saline,0.327295183,0.187628654
3480_6,Control,Saline,0.326509512,0.180727874
3480_7,Control,Saline,0.294477745,0.166687922
3480_8,Control,Saline,0.299346241,0.159039477
3480_9,Control,Saline,0.299093656,0.15835851
3480_10,Control,Saline,0.277969665,0.148670972
3480_11,Control,Saline,0.272561254,0.147618323
3480_12,Control,Saline,0.270306456,0.147872657
3480_13,Control,Saline,0.255656109,0.136877828
3480_14,Control,Saline,0.248880597,0.136380597
3480_15,Control,Saline,0.250783699,0.153605016
3484_1,Control,Saline,0.437048307,0.236021301
3484_2,Control,Saline,0.426259824,0.234304207
3484_3,Control,Saline,0.424497732,0.243125637
3484_4,Control,Saline,0.396927651,0.208870168
3484_5,Control,Saline,0.382448148,0.217360029
3484_6,Control,Saline,0.370335491,0.217775162
3484_7,Control,Saline,0.354444444,0.195396825
3484_8,Control,Saline,0.345962733,0.195652174
3484_9,Control,Saline,0.317620006,0.186404139
3484_10,Control,Saline,0.373902133,0.210790464
3484_11,Control,Saline,0.357739753,0.206526064
3484_12,Control,Saline,0.359857482,0.211599367
3497_2,Control,Saline,0.340028558,0.182674917
3497_3,Control,Saline,0.401265095,0.216676251
3497_5,Control,Saline,0.320351137,0.170128586
3497_6,Control,Saline,0.385155773,0.209224191
3497_7,Control,Saline,0.376263127,0.208044383
3497_8,Control,Saline,0.251711223,0.132765078
3497_9,Control,Saline,0.33877403,0.186797243
3497_10,Control,Saline,0.352426961,0.187025535
3497_12,Control,Saline,0.323243243,0.174702703
3497_13,Control,Saline,0.375665602,0.180244941
3497_14,Control,Saline,0.301928619,0.147639104
3497_15,Control,Saline,0.290584841,0.190138998
50810A_1,Control,Saline,0.438504082,0.29483803
50810A_2,Control,Saline,0.419143988,0.293947583
50810A_4,Control,Saline,0.354830698,0.227253912
50810A_5,Control,Saline,0.344816406,0.239685499
50810A_6,Control,Saline,0.310603829,0.212665685
50810A_7,Control,Saline,0.318815683,0.199676637
50810A_8,Control,Saline,0.304625356,0.19660218
50810A_9,Control,Saline,0.298627451,0.19754902
50810A_10,Control,Saline,0.281612782,0.19423293
50810A_11,Control,Saline,0.262914692,0.175
50810A_12,Control,Saline,0.254059105,0.167270179
50810A_13,Control,Saline,0.278817139,0.173657212
50810A_14,Control,Saline,0.254298896,0.160492101
50810A_15,Control,Saline,0.264318442,0.164805269
50810D_1,Control,Saline,0.383698761,0.242373689
50810D_2,Control,Saline,0.36611979,0.249391632
50810D_3,Control,Saline,0.369385527,0.256316282
50810D_4,Control,Saline,0.314718787,0.200438771
50810D_5,Control,Saline,0.311225983,0.205208232
50810D_6,Control,Saline,0.304270463,0.218663503
50810D_7,Control,Saline,0.286518964,0.194642634
50810D_8,Control,Saline,0.285345146,0.181616833
50810D_9,Control,Saline,0.278532772,0.178592904
50810D_10,Control,Saline,0.267685521,0.168898692
50810D_11,Control,Saline,0.263722784,0.164520086
50810D_12,Control,Saline,0.251379979,0.161271073
50810D_13,Control,Saline,0.249283154,0.163978495
50810D_14,Control,Saline,0.260824385,0.160200901
50810D_15,Control,Saline,0.246312178,0.160205832
50810F_1,Control,Saline,0.335251046,0.234658298
50810F_2,Control,Saline,0.34122322,0.234968901
50810F_3,Control,Saline,0.326874044,0.234404216
50810F_4,Control,Saline,0.3393186,0.261279926
50810F_5,Control,Saline,0.342953777,0.253213078
50810F_6,Control,Saline,0.334570867,0.249181044
50810F_7,Control,Saline,0.313292885,0.251792609
50810F_8,Control,Saline,0.309686221,0.25047749
50810F_9,Control,Saline,0.336996337,0.263736264
50810F_10,Control,Saline,0.329662522,0.284547069
50810F_11,Control,Saline,0.303954424,0.269101877
50810F_12,Control,Saline,0.296296296,0.266865079
50810F_13,Control,Saline,0.356233115,0.255885758
50810F_14,Control,Saline,0.368883312,0.291091593
50810F_15,Control,Saline,0.344410876,0.274924471
3422_1,Control,Saline,0.319786096,0.203972498
3422_2,Control,Saline,0.31521409,0.201488005
3422_3,Control,Saline,0.32137973,0.208478955
3422_4,Control,Saline,0.314818165,0.196309028
3422_5,Control,Saline,0.322586622,0.197517139
3422_6,Control,Saline,0.315463918,0.201124649
3422_7,Control,Saline,0.312071331,0.200731596
3422_8,Control,Saline,0.308009153,0.196567506
3422_9,Control,Saline,0.322462942,0.192474344
3422_10,Control,Saline,0.3096,0.183466667
3422_11,Control,Saline,0.314391928,0.189591078
3422_12,Control,Saline,0.314003207,0.185195083
3422_13,Control,Saline,0.308646003,0.194127243
3422_14,Control,Saline,0.319674797,0.188617886
3422_15,Control,Saline,0.29930163,0.201529764
3423_1,Control,Saline,0.395838232,0.26875147
3423_2,Control,Saline,0.388869484,0.268366515
3423_3,Control,Saline,0.393957207,0.264989419
3423_4,Control,Saline,0.369449634,0.242563587
3423_5,Control,Saline,0.366374269,0.243128655
3423_6,Control,Saline,0.358347627,0.241280732
3423_7,Control,Saline,0.338841474,0.240058108
3423_8,Control,Saline,0.331226962,0.22906793
3423_9,Control,Saline,0.337155142,0.239519885
3423_10,Control,Saline,0.320489574,0.243200363
3423_11,Control,Saline,0.293364626,0.241519095
3423_12,Control,Saline,0.417221387,0.234915181
3423_13,Control,Saline,0.315920398,0.238557214
3423_14,Control,Saline,0.303121853,0.237411883
3423_15,Control,Saline,0.318553381,0.232598464
3424_1,Control,Saline,0.333463187,0.214777302
3424_2,Control,Saline,0.335432016,0.219156062
3424_3,Control,Saline,0.33722318,0.213632144
3424_4,Control,Saline,0.21062679,0.14041786
3424_5,Control,Saline,0.326507208,0.20904325
3424_6,Control,Saline,0.330713818,0.206614276
3424_7,Control,Saline,0.294862108,0.197393275
3424_8,Control,Saline,0.29756965,0.212211025
3424_9,Control,Saline,0.298228346,0.203149606
3424_10,Control,Saline,0.302457002,0.251597052
3424_11,Control,Saline,0.321801068,0.250063597
3424_12,Control,Saline,0.316520844,0.235975296
3424_13,Control,Saline,0.323943662,0.252322445
3424_14,Control,Saline,0.33056325,0.247768544
3424_15,Control,Saline,0.330059524,0.246130952
3481_1,Control,Saline,0.330162703,0.228660826
3481_2,Control,Saline,0.333796589,0.221857233
3481_3,Control,Saline,0.344692519,0.237106672
3481_4,Control,Saline,0.310617821,0.223688296
3481_5,Control,Saline,0.307274701,0.220102373
3481_6,Control,Saline,0.314811875,0.216701064
3481_7,Control,Saline,0.327483196,0.218073189
3481_8,Control,Saline,0.293456589,0.21279681
3481_9,Control,Saline,0.311025145,0.228626692
3481_10,Control,Saline,0.294002608,0.232290309
3481_11,Control,Saline,0.312893082,0.213162624
3481_12,Control,Saline,0.310140973,0.2157799
3481_13,Control,Saline,0.309741882,0.217873994
3481_14,Control,Saline,0.28241335,0.187676508
3481_15,Control,Saline,0.366319444,0.216724537
3488_1,Control,Saline,0.331817094,0.258558774
3488_2,Control,Saline,0.32193087,0.271632896
3488_3,Control,Saline,0.325181598,0.269128329
3488_4,Control,Saline,0.306446731,0.212318402
3488_5,Control,Saline,0.306557128,0.224707135
3488_6,Control,Saline,0.295143027,0.210369487
3488_7,Control,Saline,0.276053812,0.19264574
3488_8,Control,Saline,0.28516624,0.202594081
3488_9,Control,Saline,0.288584637,0.198079659
3488_10,Control,Saline,0.26969697,0.185656566
3488_11,Control,Saline,0.26891253,0.18144208
3488_12,Control,Saline,0.295701085,0.185817597
3488_13,Control,Saline,0.264522822,0.177904564
3488_14,Control,Saline,0.2597874,0.187451387
3488_15,Control,Saline,0.276084711,0.176394628
3489_1,Control,Saline,0.350152517,0.251525165
3489_2,Control,Saline,0.361585604,0.26887469
3489_3,Control,Saline,0.35775258,0.264747102
3489_4,Control,Saline,0.32768,0.22496
3489_5,Control,Saline,0.307420495,0.21631587
3489_6,Control,Saline,0.309688581,0.23403586
3489_7,Control,Saline,0.297897898,0.231231231
3489_8,Control,Saline,0.287175601,0.212729684
3489_9,Control,Saline,0.304721851,0.22099025
3489_10,Control,Saline,0.297550432,0.229827089
3489_11,Control,Saline,0.2945318,0.251818822
3489_12,Control,Saline,0.296827262,0.231962397
3489_13,Control,Saline,0.297936893,0.244538835
3489_14,Control,Saline,0.295859776,0.250831067
3489_15,Control,Saline,0.286502898,0.227159812
3490_1,Control,Saline,0.387528039,0.280035891
3490_2,Control,Saline,0.400981845,0.292145239
3490_4,Control,Saline,0.34579756,0.23463624
3490_5,Control,Saline,0.342428064,0.240972143
3490_6,Control,Saline,0.363548698,0.255665381
3490_7,Control,Saline,0.317410523,0.200912591
3490_8,Control,Saline,0.323465072,0.221962958
3490_9,Control,Saline,0.342061948,0.235223702
3490_10,Control,Saline,0.227291696,0.165808875
3490_11,Control,Saline,0.250574383,0.17073521
3490_12,Control,Saline,0.285593934,0.195956192
3490_13,Control,Saline,0.231018046,0.168709568
3490_14,Control,Saline,0.238121048,0.1833785
3490_15,Control,Saline,0.284615385,0.197089397
3516_1,Control,Saline,0.263169569,0.220694244
3516_2,Control,Saline,0.253764393,0.206377325
3516_3,Control,Saline,0.241087485,0.19866709
3516_4,Control,Saline,0.264470918,0.208829713
3516_5,Control,Saline,0.24848325,0.193220786
3516_6,Control,Saline,0.23724854,0.199610642
3516_7,Control,Saline,0.250930873,0.187793427
3516_8,Control,Saline,0.242877606,0.186057616
3516_9,Control,Saline,0.229708146,0.187309424
3516_10,Control,Saline,0.262241775,0.187069625
3516_11,Control,Saline,0.251103753,0.177336277
3516_12,Control,Saline,0.230394626,0.159026029
3516_13,Control,Saline,0.242491657,0.170856507
3516_14,Control,Saline,0.215968586,0.15095986
3516_15,Control,Saline,0.230075804,0.142593731
J2292_1,Control,Saline,0.394663552,0.220285689
J2292_2,Control,Saline,0.408166904,0.21068117
J2292_3,Control,Saline,0.384366485,0.211682561
J2292_4,Control,Saline,0.355444872,0.199003849
J2292_5,Control,Saline,0.349615256,0.194267871
J2292_6,Control,Saline,0.357586513,0.195319432
J2292_7,Control,Saline,0.33805873,0.203674237
J2292_8,Control,Saline,0.346938776,0.196740567
J2292_9,Control,Saline,0.355418139,0.19655477
J2292_10,Control,Saline,0.375715922,0.197785414
J2292_11,Control,Saline,0.350877193,0.195874301
J2292_12,Control,Saline,0.356204097,0.204870506
J2292_13,Control,Saline,0.386189258,0.189897698
J2292_14,Control,Saline,0.342094017,0.197222222
J2292_15,Control,Saline,0.347053907,0.189093188
3414_1,Ts65Dn,Memantine,0.3649528,0.230776281
3414_2,Ts65Dn,Memantine,0.366148861,0.249213762
3414_3,Ts65Dn,Memantine,0.384048842,0.253609846
3414_4,Ts65Dn,Memantine,0.324364552,0.203457751
3414_5,Ts65Dn,Memantine,0.335976331,0.209940828
3414_6,Ts65Dn,Memantine,0.334826692,0.217401556
3414_7,Ts65Dn,Memantine,0.312435462,0.19825933
3414_8,Ts65Dn,Memantine,0.327056645,0.210680661
3414_9,Ts65Dn,Memantine,0.313106796,0.21101335
3414_10,Ts65Dn,Memantine,0.301043765,0.204907526
3414_11,Ts65Dn,Memantine,0.327937536,0.208150828
3414_12,Ts65Dn,Memantine,0.312754016,0.213083027
3414_13,Ts65Dn,Memantine,0.278319255,0.203378817
3414_14,Ts65Dn,Memantine,0.294018178,0.203762418
3414_15,Ts65Dn,Memantine,0.278910105,0.206393478
3416_1,Ts65Dn,Memantine,0.327980296,0.206403941
